,Time [s],x,x_dot,y,y_dot,psi,psi_dot,X,Y,S,a_f,a_r,d_f,d_r,beta_f,beta_r,beta,alpha_f,alpha_r,v
838,8.388388388388389,212.75947271135436,33.29632802292687,0.0,0.009168946461011743,2.4436003847280268,1.0349946447368652,-124.56424471357423,52.65747791597569,212.75947271135436,0.0,6.867261467646904,0.33370187769430154,0.0,0.021723574168040244,-0.0261463216293962,0.00027537410295508553,0.3119783035262613,0.0261463216293962,33.29632802292687
839,8.398398398398399,213.0927703567745,33.29654153353336,0.0,0.00921971882846542,2.454004189150783,1.0436831344598763,-124.82076227406418,52.87028078086445,213.0927703567745,0.0,6.837551121877594,0.32775648957897935,0.0,0.021905010190659935,-0.02636643041675288,0.00027689719123471547,0.3058514793883194,0.02636643041675288,33.29654153353336
840,8.408408408408409,213.4260701373787,33.29675463264138,0.0,0.009269604233988947,2.4644939707055094,1.0521729293966804,-125.079490894293,53.080393193368124,213.4260701373787,0.0,6.807519920320711,0.3217848088970567,0.0,0.022082300020822496,-0.026581491064763797,0.00027839362533253406,0.2997025088762342,0.026581491064763797,33.29675463264138
841,8.418418418418419,213.7593720489508,33.296967300862605,0.0,0.009318598594163565,2.475067737979011,1.0604635348954985,-125.34041997244587,53.28777001248822,213.7593720489508,0.0,6.777175730226356,0.3157905752130441,0.0,0.022255433384555115,-0.026791491189166038,0.00027986328334239294,0.293535141828489,0.026791491189166038,33.296967300862605
842,8.428428428428429,214.09267608707955,33.29717951859631,0.0,0.009366698386789492,2.485723495192008,1.0685545732329744,-125.60353755684925,53.49236636427311,214.09267608707955,0.0,6.746526369336372,0.3097775216137426,0.0,0.022424402448277356,-0.026996421374345086,0.00028130606021925346,0.28735311916546524,0.026996421374345086,33.29717951859631
843,8.438438438438439,214.4259822471565,33.297391266055385,0.0,0.009413900649992483,2.4964592433676374,1.0764457832236474,-125.86883035351117,53.69413767315229,214.4259822471565,0.0,6.715579604873059,0.3037493715095355,0.0,0.022589201810566187,-0.02719627516325205,0.00028272186775152655,0.28116016969896934,0.02719627516325205,33.297391266055385
844,8.448448448448449,214.75929052437436,33.297602523292646,0.0,0.009460202980849777,2.5072729814955474,1.0841370197307274,-126.13628373490349,53.89303969319548,214.75929052437436,0.0,6.684343152562324,0.2977098354470745,0.0,0.022749828491860576,-0.027391049044815118,0.0002841106345188721,0.27496000695521394,0.027391049044815118,33.297602523292646
845,8.458458458458459,215.09260091372548,33.29781327022751,0.0,0.009505603533537098,2.518162707690606,1.091628253078686,-126.40588174997508,54.08902853924145,215.09260091372548,0.0,6.652824675690782,0.29166260793621923,0.0,0.022906281922116713,-0.027580742438858392,0.00028547230583566424,0.26875632601410254,0.027580742438858392,33.29781327022751
846,8.468468468468469,215.4259134100007,33.298023486672854,0.0,0.009550101016998772,2.5291264203452397,1.0989195683682664,-126.67760713538274,54.28206071784163,215.4259134100007,0.0,6.621031784196258,0.2856113642940731,0.0,0.023058563926426665,-0.02776535767854391,0.00028680684368011244,0.2625528003676464,0.02776535767854391,33.298023486672854
847,8.478478478478479,215.75922800778838,33.29823315236209,0.0,0.009593694692143473,2.5401621192744313,1.1060111646946,-126.951441327924,54.47209315796422,215.75922800778838,0.0,6.588972033791159,0.27955975750894363,0.0,0.023206678708614942,-0.02794489999035454,0.00028811422660913674,0.2563530788003287,0.02794489999035454,33.29823315236209
